id,key,interpolations,is_proc,created_at,updated_at,locale,value,is_html,complete,is_list
2799,devise.registrations.reasons.unconfirmed,,false,,,es,sin confirmar,false,false,false
233,physically_disabled_name,,false,2014-07-10 17:16:03.398902,2014-07-10 17:16:03.398902,en,Physically Disabled,false,false,false
2800,devise.registrations.reasons.locked,,false,,,es,bloqueada,false,false,false
235,physically_disabled_note,,false,2014-07-10 17:16:03.416506,2014-07-10 17:16:03.416506,en,Do you have a physical disability?,false,false,false
2801,devise.omniauth_callbacks.success,,false,,,es,Exitosamente autorizado desde la cuenta %{kind}.,false,false,false
237,wheelchair_dependent_name,,false,2014-07-10 17:16:03.444891,2014-07-10 17:16:03.444891,en,Wheelchair Dependent,false,false,false
2802,devise.mailer.confirmation_instructions.subject,,false,,,es,Instrucciones de Confirmación,false,false,false
239,wheelchair_dependent_note,,false,2014-07-10 17:16:03.461146,2014-07-10 17:16:03.461146,en,Do you require the use of wheelchair?,false,false,false
2803,devise.mailer.reset_password_instructions.subject,,false,,,es,Instrucciones de reinicio de contraseña,false,false,false
241,door_to_door_name,,false,2014-07-10 17:16:03.525013,2014-07-10 17:16:03.525013,en,Door-to-door,false,false,false
2804,simple_form.yes,,false,,,es,Si,false,false,false
243,door_to_door_note,,false,2014-07-10 17:16:03.540284,2014-07-10 17:16:03.540284,en,Do you need assistance getting to your front door?,false,false,false
2805,simple_form.no,,false,,,es,No,false,false,false
245,door_through_door_name,,false,2014-07-10 17:16:03.590336,2014-07-10 17:16:03.590336,en,Door through door,false,false,false
2806,simple_form.required.mark,,false,,,es,*,false,false,false
247,door_through_door_note,,false,2014-07-10 17:16:03.60857,2014-07-10 17:16:03.60857,en,Do you need door through door service?,false,false,false
2807,one_click_trip_planner,,false,,,es,1-Click Planificador de Viajes,false,false,false
249,driver_assistance_name,,false,2014-07-10 17:16:03.633097,2014-07-10 17:16:03.633097,en,Driver assistance provided,false,false,false
2808,plan_a_trip,,false,,,es,Planear un Viaje,false,false,false
251,driver_assistance_note,,false,2014-07-10 17:16:03.649792,2014-07-10 17:16:03.649792,en,Do you require assistance from the driver to enter the vehicle?,false,false,false
2809,plan_a_new_trip,,false,,,es,Planear un Viaje Nuevo,false,false,false
253,wheelchair_lift_equipped_name,,false,2014-07-10 17:16:03.675327,2014-07-10 17:16:03.675327,en,Wheelchair lift equipped,false,false,false
2810,identify_places,,false,,,es,Identificar los Lugares,false,false,false
255,wheelchair_lift_equipped_note,,false,2014-07-10 17:16:03.692049,2014-07-10 17:16:03.692049,en,Do you require a vehicle equipped with a wheelchair lift?,false,false,false
2811,change_my_settings,,false,,,es,Cambiar mi Configuración,false,false,false
257,general_medical_name,,false,2014-07-10 17:16:03.728234,2014-07-10 17:16:03.728234,en,General Medical,false,false,false
2812,create_an_account,,false,,,es,Crear una Cuenta,false,false,false
